25.60:00000, 00111, 00100:00100, 00000, 00000:
5.81:00100, 00100, 00000:00000, 11000, 00000:
6.41:00000, 11100, 00000:00000, 00100, 00100:
18.51:00000, 00110, 00010:00000, 01110, 00010:
21.92:00000, 11100, 00100:00000, 00000, 00000:
6.59:00000, 00100, 00000:00000, 00100, 00000:
23.97:00100, 00100, 00000:01000, 11100, 00000:Attic
10.90:10000, 11100, 00000:00000, 11100, 00000:
4.50:00000, 11100, 00000:00000, 11110, 00000:
2.40:00000, 11111, 00000:00000, 11111, 00000:
7.49:00000, 11110, 00000:00000, 11000, 00000:
3.28:00000, 11100, 00000:00000, 11100, 00000:
13.30:00000, 11100, 00000:00000, 00100, 00100:
12.79:00000, 01100, 01000:00000, 11100, 10000:
84.18:00000, 00000, 00000:00000, 00000, 00000:
7.81:00000, 11110, 10000:00000, 00111, 00100:
8.41:00111, 00100, 00100:00100, 00100, 00100:
11.49:00010, 00110, 00010:00010, 00010, 00010:
21.08:00010, 00110, 00010:00100, 00100, 00000:
21.30:00100, 00100, 00000:00000, 00111, 00000:
15.39:00000, 00100, 00000:00000, 01100, 00111:
10.59:00000, 11101, 01111:00000, 11110, 11111:
2.30:00000, 11100, 11111:00000, 11100, 11111:
43.40:00000, 00100, 00000:00011, 00100, 01111:
11.89:00001, 00110, 00111:00001, 00110, 00111:
10.90:11111, 00100, 11100:00001, 11111, 00000:
2.90:00000, 11111, 00000:10000, 11111, 00000:
9.01:01000, 11111, 00000:00100, 00100, 00100:
3.63:00000, 00100, 00100:00000, 00100, 00100:
18.40:00000, 00000, 00100:00100, 11100, 00100:
9.60:00010, 11110, 00010:01000, 01111, 00000:
14.49:00100, 00111, 00000:00000, 00111, 00100:
5.71:00000, 00111, 00010:00000, 00111, 00010:
2.31:00000, 01111, 00100:00000, 01111, 00100:
6.59:00000, 11111, 01001:00000, 11111, 10011:
6.69:00000, 11110, 00111:00000, 11100, 01110:
1.80:00000, 00111, 00000:00000, 00111, 00000:
8.71:00000, 00011, 00000:01110, 00100, 00000:
6.80:00100, 00100, 00000:01000, 01100, 00000:
5.32:10000, 11100, 00000:00100, 00100, 00000:
7.20:00100, 00100, 00000:01100, 00100, 00000:
4.80:11000, 01100, 00000:00000, 11000, 11000:
10.50:00000, 11100, 11000:11110, 10110, 00000:
14.11:10110, 00100, 00000:10000, 11100, 00000:
39.50:00000, 11100, 00000:00000, 11100, 00000:
48.28:00000, 11000, 00000:00000, 11100, 00000:
10.11:00000, 11000, 00000:00100, 00000, 00000:
29.90:00100, 00100, 00000:00000, 11100, 11100:
5.60:00000, 11100, 11000:00000, 00100, 00100:
25.29:00000, 00000, 00000:00000, 00000, 00000:
2.31:00000, 00000, 00000:00000, 00000, 00000:
15.60:00000, 00000, 00000:00000, 00000, 00000:
8.51:00000, 00000, 00000:00000, 00000, 00000:
6.07:00000, 00000, 00000:00000, 00000, 00000:
9.40:00000, 00000, 00000:00000, 00000, 00000:
21.71:00000, 00000, 00000:00000, 00000, 00000:
10.62:00000, 00111, 00011:00000, 00111, 00011:
4.60:00000, 01110, 00111:11100, 01110, 00010:
5.11:11000, 11100, 00100:00100, 11100, 11000:
21.20:00010, 11110, 11100:01111, 01111, 00000:
3.10:00111, 00111, 00000:11100, 00111, 00111:
15.41:11110, 00111, 00011:00111, 00100, 00000:
7.31:00011, 00110, 00000:11111, 00111, 00110:
2.99:11111, 00111, 00011:11111, 00111, 00011:
16.19:11111, 00011, 00011:00100, 00100, 00000:
10.99:01000, 01100, 00000:00100, 00100, 00000:
2.69:01000, 01100, 00000:01000, 01000, 00000:
24.30:01000, 01100, 00000:10110, 11110, 00000:
2.70:01011, 01111, 00000:01011, 01011, 00000:
5.99:01011, 01111, 00000:01000, 01100, 00101:
11.11:00100, 00110, 00010:00001, 00111, 00011:
4.98:00001, 00001, 00111:00000, 00000, 00000:
7.60:00000, 00100, 00000:00000, 00100, 00100:
4.89:00000, 00110, 00010:00000, 00111, 00000:
2.02:00000, 00111, 00000:00000, 00111, 00000:
5.19:00000, 00111, 00000:00000, 00100, 00111:
10.48:00000, 00110, 00011:00000, 11100, 01111:
3.30:00000, 11000, 01111:00011, 00111, 00000:
14.50:00000, 00000, 00000:10000, 11111, 00111:
3.40:00000, 11111, 01111:00000, 11111, 01111:
5.00:00000, 11111, 11110:00000, 11111, 11111:
3.40:00000, 11111, 11111:00000, 11111, 11111:
2.60:00000, 11110, 11111:00000, 11110, 11111:
6.69:00000, 00100, 11110:00000, 00100, 00100:
6.19:00000, 01100, 01000:00000, 11100, 00000:
8.51:00000, 11000, 00000:00000, 00100, 00100:
11.20:00000, 00110, 00010:00011, 00110, 00000:
4.52:00001, 00111, 00000:00001, 00011, 00000:
12.70:00001, 00111, 00000:00000, 11100, 00000:
7.01:00000, 11100, 00000:00000, 00100, 11100:
15.90:00000, 01100, 11000:00000, 11100, 00000:
29.09:00000, 11100, 00000:00100, 00100, 00000:
14.40:01000, 01100, 00000:01000, 01100, 00000:
22.01:10000, 11100, 00000:00000, 11100, 10000:
21.40:00000, 00100, 11100:00000, 00100, 00100:
36.60:00000, 00110, 00010:00000, 00111, 00000:
17.79:00000, 00111, 00000:00000, 00111, 00000:
9.10:00000, 00111, 00000:00000, 00111, 00000:
70.29:00000, 00000, 00000:00000, 00000, 00000:
10.31:00000, 00110, 00011:00000, 00110, 00011:
4.02:00000, 01100, 00111:01100, 00111, 00000:
7.61:11000, 01111, 00000:00000, 11111, 00000:
5.29:00000, 11111, 00000:00000, 11111, 00000:
4.39:00000, 11111, 00001:00000, 11110, 00010:
24.30:00000, 11100, 00100:00000, 11000, 11100:
22.89:00000, 11100, 11100:10100, 11100, 00000:
12.87:10100, 11000, 00000:00010, 00110, 00000:
6.80:00001, 00111, 00000:00111, 00100, 00000:
17.70:00011, 00110, 00000:11100, 00100, 00111:
20.47:11110, 00110, 00011:11111, 11111, 11100:
10.88:11111, 01111, 01110:00100, 11110, 11111:
2.99:00010, 11111, 11111:00001, 11111, 11111:
4.83:00000, 11111, 11111:00000, 11111, 11110:
3.61:00000, 11111, 01111:00000, 11111, 01111:
15.99:10000, 11111, 00111:00000, 00000, 00000:
3.80:00000, 00011, 00111:00011, 00111, 00000:
2.01:00000, 11100, 01111:00000, 11100, 01111:
7.81:00000, 01110, 00111:01110, 00111, 00100:
4.68:00111, 00100, 00111:01000, 01110, 00010:
5.29:10000, 11100, 00100:00100, 00100, 00111:
7.09:00100, 00111, 00001:00101, 00100, 00000:
17.92:00100, 00100, 00000:00001, 00111, 00000:
15.31:10000, 10100, 10000:00000, 00000, 00000:
4.20:00000, 00100, 00100:00000, 00100, 00100:
8.29:00100, 00100, 00100:00010, 00111, 00000:
1.71:00001, 00111, 00000:00001, 00111, 00000:
5.00:00000, 00111, 00000:10000, 11111, 00000:
8.30:01000, 11111, 00000:00010, 11111, 00000:
4.99:10001, 01111, 00000:01000, 01110, 00000:
10.09:00100, 00111, 00000:00000, 11100, 00100:
5.01:00000, 11100, 01000:00000, 11100, 00000:
51.20:00001, 11101, 00001:00001, 00001, 11101:
12.18:00001, 00101, 11101:11100, 11110, 00100:
16.91:11110, 11111, 00010:01111, 01111, 00000:
8.28:00111, 00111, 00000:00000, 00111, 00111:
12.98:00000, 01111, 01111:00010, 11110, 11111:
14.20:00100, 11100, 11110:11100, 00100, 11100:
4.70:00000, 11100, 00100:10000, 11110, 00010:
3.70:11000, 11111, 00001:11100, 11111, 00000:
41.00:11110, 11111, 00000:11111, 01111, 00000:
6.30:01111, 00111, 00000:00000, 01111, 00111:
20.19:00000, 11111, 01111:00000, 11111, 01111:
3.29:00000, 01111, 00111:00000, 01111, 00111:
10.11:00000, 00111, 00011:00000, 00111, 00011:
3.52:00000, 01111, 00111:00000, 01111, 00111:
8.30:00000, 11111, 01111:00110, 11110, 11111:
4.88:01100, 11100, 11111:00000, 11100, 01100:
9.49:00000, 11110, 00110:00000, 11110, 00110:
2.00:00000, 11100, 01100:00000, 11100, 01100:
230.59:00000, 11110, 00110:00000, 00000, 00000:
4.36:00000, 00111, 00000:00000, 00111, 00000:
3.00:00000, 00100, 00111:00000, 00100, 00100:
8.49:00000, 01100, 01000:11100, 00100, 11100:
29.71:11000, 01100, 11000:11000, 11100, 11100:
8.59:00000, 00111, 00010:00100, 10100, 10100:
15.10:10100, 10100, 00100:01000, 11111, 00000:
